strength_mean_core,radius_m,core_count,border_count,encounters,core_fraction,radius_p80_m,strength_p95_core,strength_mean_all,strength_p95_all,eps_km,min_samples,method,center_estimator,strength_min,wp_id,lat,lon
3.4,2212.7,6,5,11,0.5,1581.4,4.7,3.2,4.5,1.0,5,dbscan,median,2.0,61,-31.817639241379503,116.9411159231201
4.1,1275.7,3,4,6,0.4,1147.8,4.7,3.8,4.6,1.0,5,dbscan,median,2.0,62,-31.479535880272635,117.1904319572047
3.3,540.1,5,0,5,1.0,510.8,4.7,3.3,4.7,1.0,5,dbscan,median,2.0,63,-32.891173309098306,117.337484375
3.8,1346.1,3,4,6,0.4,789.2,4.6,3.7,4.6,1.0,5,dbscan,median,2.0,64,-31.409038263684252,117.25790922500543
4.6,936.7,1,4,5,0.2,847.3,4.6,3.3,4.6,1.0,5,dbscan,median,2.0,65,-32.627331792725144,117.20047457121636
3.4,1270.1,3,4,7,0.4,1108.5,4.6,3.1,4.4,1.0,5,dbscan,median,2.0,66,-31.902809142213172,117.07918340335544
3.5,1284.4,4,4,7,0.5,837.2,4.6,3.3,4.5,1.0,5,dbscan,median,2.0,67,-31.79222654336173,117.57496265998161
3.1,1575.8,8,3,11,0.7,1296.3,4.6,3.1,4.8,1.0,5,dbscan,median,2.0,68,-32.931797194605004,117.17948990915808
4.1,1091.1,2,4,6,0.3,862.9,4.6,3.7,4.5,1.0,5,dbscan,median,2.0,69,-31.155080189822804,116.8056661582481
3.1,32053.1,2492,121,1409,1.0,9951.2,4.6,3.1,4.6,1.0,5,dbscan,median,2.0,70,-32.12558286905565,116.96024789094841
3.3,2387.4,15,7,19,0.7,1872.2,4.6,3.5,5.2,1.0,5,dbscan,median,2.0,71,-31.803506857638897,117.520179841636
3.8,408.9,5,0,5,1.0,405.8,4.5,3.8,4.5,1.0,5,dbscan,median,2.0,72,-33.019111893011925,116.89767747685188
3.4,863.0,7,1,8,0.9,814.3,4.5,3.4,4.5,1.0,5,dbscan,median,2.0,73,-31.327270284942685,117.42234242105464
3.3,1520.8,3,2,5,0.6,918.6,4.5,2.9,4.3,1.0,5,dbscan,median,2.0,74,-32.03504927814677,116.90941131832828
3.6,1698.3,5,4,7,0.6,1325.3,4.5,3.5,4.4,1.0,5,dbscan,median,2.0,75,-31.41074443627451,116.89250962444126
3.6,2107.0,4,6,10,0.4,1252.8,4.5,3.8,5.1,1.0,5,dbscan,median,2.0,76,-32.23333557804803,117.25180386173543
4.2,1260.1,2,5,7,0.3,1213.1,4.5,3.5,4.9,1.0,5,dbscan,median,2.0,77,-32.04548837615253,117.12843571968476
3.0,1403.5,7,2,8,0.8,1044.9,4.5,3.0,4.4,1.0,5,dbscan,median,2.0,78,-31.42635798849843,117.02913140723882
3.5,1484.3,6,2,8,0.8,761.3,4.5,3.5,4.5,1.0,5,dbscan,median,2.0,79,-32.04950968486777,117.04189973482431
4.1,912.2,4,2,6,0.7,599.3,4.5,3.9,4.5,1.0,5,dbscan,median,2.0,80,-31.38401216957714,117.46713403815473
3.2,2689.3,8,6,13,0.6,2088.8,4.5,3.5,5.8,1.0,5,dbscan,median,2.0,81,-31.42401320254784,117.28675723790604
3.6,996.4,2,5,6,0.3,905.7,4.5,3.1,4.2,1.0,5,dbscan,median,2.0,82,-31.592923495536787,116.88163414727634
3.5,2489.5,11,8,19,0.6,1965.0,4.5,3.4,4.5,1.0,5,dbscan,median,2.0,83,-32.07558699648928,117.2015719458038
3.4,1581.7,4,3,7,0.6,1234.4,4.5,3.3,4.4,1.0,5,dbscan,median,2.0,84,-31.061902945930882,116.78626979272366
4.3,861.6,2,3,5,0.4,780.1,4.5,4.1,5.0,1.0,5,dbscan,median,2.0,85,-30.965072627211818,117.13788487038704
